# {"time_iso8601_last_update_rki": "2021-03-15T17:00:00+0000", "time_iso8601_last_update_rl": "2021-03-16T20:00:00+0000"}
ags,county_name,state,population,rl_cases_total,rl_cases_7di,rl_deaths_total,rki_cases_total,rki_cases_7di,rki_deaths_total
9772,LK Augsburg,Bayern,253468,8001,66.68,177,8008,67.86,177
9773,LK Dillingen a.d.Donau,Bayern,96562,2627,47.64,102,2614,47.64,100
9774,LK Günzburg,Bayern,127027,4482,44.87,95,4482,40.94,95
9775,LK Neu-Ulm,Bayern,175204,5051,43.95,104,5051,43.38,104
9776,LK Lindau,Bayern,81981,2480,84.17,57,2476,84.17,57
9777,LK Ostallgäu,Bayern,141182,4165,135.99,107,4180,123.25,106
9778,LK Unterallgäu,Bayern,145341,4391,127.29,115,4369,123.16,115
9779,LK Donau-Ries,Bayern,133783,3744,65.03,136,3728,56.81,142
9780,LK Oberallgäu,Bayern,156008,3942,74.36,59,3942,72.43,57
10041,LK Stadtverband Saarbrücken,Saarland,328714,11648,65.10,441,11617,62.97,429
10042,LK Merzig-Wadern,Saarland,103243,2590,46.49,45,2646,37.77,45
10043,LK Neunkirchen,Saarland,131408,3801,79.14,103,3756,59.36,101
10044,LK Saarlouis,Saarland,194319,6252,55.06,141,6239,54.03,141
10045,LK Saar-Pfalz-Kreis,Saarland,142196,3456,58.37,96,3393,49.93,94
10046,LK Sankt Wendel,Saarland,87007,2526,59.77,103,2511,50.57,104
11000,Berlin,Berlin,3669491,135779,93.47,2947,135111,82.14,2941
11001,SK Berlin Mitte,Berlin,380917,,,,17103,92.15,272
11002,SK Berlin Friedrichshain-Kreuzberg,Berlin,290083,,,,11323,75.84,137
11003,SK Berlin Pankow,Berlin,409454,,,,11603,65.94,195
11004,SK Berlin Charlottenburg-Wilmersdorf,Berlin,342950,,,,11549,73.19,246
11005,SK Berlin Spandau,Berlin,244458,,,,10111,86.31,224
11006,SK Berlin Steglitz-Zehlendorf,Berlin,308582,,,,10005,80.04,215
11007,SK Berlin Tempelhof-Schöneberg,Berlin,351062,,,,13622,93.15,418
11008,SK Berlin Neukölln,Berlin,328666,,,,15977,84.28,362
11009,SK Berlin Treptow-Köpenick,Berlin,273817,,,,7385,69.39,168
11010,SK Berlin Marzahn-Hellersdorf,Berlin,271311,,,,7613,76.30,218
11011,SK Berlin Lichtenberg,Berlin,294937,,,,8332,74.25,225
11012,SK Berlin Reinickendorf,Berlin,266219,,,,10488,91.65,261
12051,SK Brandenburg a.d.Havel,Brandenburg,72184,1649,52.64,72,1635,56.80,72
12052,SK Cottbus,Brandenburg,99678,4512,108.35,174,4490,95.31,175
12053,SK Frankfurt (Oder),Brandenburg,57751,1533,31.17,89,1533,31.17,89
12054,SK Potsdam,Brandenburg,180334,5366,54.90,227,5217,59.33,227
12060,LK Barnim,Brandenburg,185244,4450,59.38,182,4450,55.60,182
12061,LK Dahme-Spreewald,Brandenburg,170791,5370,69.68,214,5370,69.09,215
12062,LK Elbe-Elster,Brandenburg,101827,5243,165.97,190,5243,165.97,190
12063,LK Havelland,Brandenburg,162996,4369,55.83,160,4371,56.44,160
12064,LK Märkisch-Oderland,Brandenburg,195751,4966,73.56,231,4984,71.01,227
12065,LK Oberhavel,Brandenburg,212914,6125,137.61,221,6125,137.61,221
12066,LK Oberspreewald-Lausitz,Brandenburg,109371,5741,147.21,244,5741,148.12,244
12067,LK Oder-Spree,Brandenburg,178803,5856,83.33,255,5800,82.21,255
12068,LK Ostprignitz-Ruppin,Brandenburg,98861,3448,59.68,151,3249,58.67,126
12069,LK Potsdam-Mittelmark,Brandenburg,216566,6009,64.65,174,5976,62.80,173
12070,LK Prignitz,Brandenburg,76158,2508,81.41,137,2491,78.78,136
12071,LK Spree-Neiße,Brandenburg,113720,5848,62.43,169,5848,65.07,169
12072,LK Teltow-Fläming,Brandenburg,169997,4988,97.06,175,4988,94.71,175
12073,LK Uckermark,Brandenburg,118947,2847,35.31,141,2847,36.15,141
13003,SK Rostock,Mecklenburg-Vorpommern,209191,1639,19.12,27,1632,21.99,27
13004,SK Schwerin,Mecklenburg-Vorpommern,95653,1850,86.77,90,1825,69.00,90
13071,LK Mecklenburgische Seenplatte,Mecklenburg-Vorpommern,258074,5624,43.01,130,5587,41.07,129
13072,LK Rostock,Mecklenburg-Vorpommern,215794,2573,76.93,79,2523,68.12,77
13073,LK Vorpommern-Rügen,Mecklenburg-Vorpommern,224702,2350,49.40,59,2332,42.72,59
13074,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,157322,2468,96.62,50,2426,95.98,50
13075,LK Vorpommern-Greifswald,Mecklenburg-Vorpommern,235623,6378,117.99,187,6346,102.71,185
13076,LK Ludwigslust-Parchim,Mecklenburg-Vorpommern,211779,4216,93.49,194,4152,82.16,194
14511,SK Chemnitz,Sachsen,246334,10826,124.63,391,10803,114.48,391
14521,LK Erzgebirgskreis,Sachsen,334948,21689,163.61,632,21608,147.78,629
14522,LK Mittelsachsen,Sachsen,304099,16287,126.93,586,16052,108.52,572
14523,LK Vogtlandkreis,Sachsen,225997,13225,377.88,589,13041,307.08,568
14524,LK Zwickau,Sachsen,315002,18476,180.63,886,18411,158.73,845
14612,SK Dresden,Sachsen,556780,23095,84.23,950,22968,71.30,948
14625,LK Bautzen,Sachsen,299758,19705,109.42,781,20085,102.75,776
14626,LK Görlitz,Sachsen,252725,15431,119.10,980,15383,96.94,978
14627,LK Meißen,Sachsen,241717,13299,111.70,552,13283,102.60,552
14628,LK Sächsische Schweiz-Osterzgebirge,Sachsen,245586,15696,116.86,857,15525,84.70,846
14713,SK Leipzig,Sachsen,593145,15968,58.50,449,15868,57.32,446
14729,LK Leipzig,Sachsen,258139,10892,78.64,260,10791,65.47,260
14730,LK Nordsachsen,Sachsen,197741,9763,187.62,315,9715,133.00,315
15001,SK Dessau-Roßlau,Sachsen-Anhalt,80103,2261,101.12,89,2229,87.39,89
15002,SK Halle,Sachsen-Anhalt,238762,7874,163.76,274,7786,159.15,267
15003,SK Magdeburg,Sachsen-Anhalt,237565,4362,80.82,87,4318,81.66,85
15081,LK Altmarkkreis Salzwedel,Sachsen-Anhalt,83173,1580,44.49,55,1561,30.06,60
15082,LK Anhalt-Bitterfeld,Sachsen-Anhalt,158486,4657,99.06,126,4662,80.76,126
15083,LK Börde,Sachsen-Anhalt,170923,3982,118.18,111,3965,108.82,111
15084,LK Burgenlandkreis,Sachsen-Anhalt,178846,8686,211.36,459,8568,197.94,455
15085,LK Harz,Sachsen-Anhalt,213310,5270,123.29,225,5250,121.42,224
15086,LK Jerichower Land,Sachsen-Anhalt,89589,2321,125.02,119,2297,112.74,119
15087,LK Mansfeld-Südharz,Sachsen-Anhalt,134942,4210,54.84,162,4200,52.62,161
15088,LK Saalekreis,Sachsen-Anhalt,183815,6668,126.21,263,6647,118.60,260
15089,LK Salzlandkreis,Sachsen-Anhalt,189125,6302,81.43,283,6277,76.14,267
15090,LK Stendal,Sachsen-Anhalt,111190,2847,82.74,165,2693,85.44,139
15091,LK Wittenberg,Sachsen-Anhalt,124953,4903,97.64,225,4882,97.64,221
16051,SK Erfurt,Thüringen,213981,5645,100.01,213,5612,96.74,209
16052,SK Gera,Thüringen,93125,3329,143.89,120,3329,139.60,120
16053,SK Jena,Thüringen,111343,3051,61.07,62,3041,58.38,59
16054,SK Suhl,Thüringen,36789,1473,222.89,89,1473,214.74,89
16055,SK Weimar,Thüringen,65228,1849,59.79,92,1841,50.59,93
16056,SK Eisenach,Thüringen,42250,1119,134.91,49,1119,139.64,49
16061,LK Eichsfeld,Thüringen,100006,4509,133.99,169,4499,121.99,151
16062,LK Nordhausen,Thüringen,83416,1835,70.73,46,1773,55.15,46
16063,LK Wartburgkreis,Thüringen,118974,4658,158.86,161,4658,271.49,161
16064,LK Unstrut-Hainich-Kreis,Thüringen,102232,4957,152.59,210,4947,151.62,210
16065,LK Kyffhäuserkreis,Thüringen,74212,2427,183.26,108,2427,183.26,108
16066,LK Schmalkalden-Meiningen,Thüringen,124916,6778,338.63,260,6745,301.80,250
16067,LK Gotha,Thüringen,134908,5252,207.55,188,4855,194.21,168
16068,LK Sömmerda,Thüringen,69427,2444,162.76,96,2444,158.44,96
16069,LK Hildburghausen,Thüringen,63197,4034,126.59,199,4034,126.59,199
16070,LK Ilm-Kreis,Thüringen,106249,3796,194.83,154,3796,194.83,154
16071,LK Weimarer Land,Thüringen,82156,2629,114.42,55,2595,92.51,51
16072,LK Sonneberg,Thüringen,57717,2823,79.70,145,2823,67.57,145
16073,LK Saalfeld-Rudolstadt,Thüringen,103199,4688,103.68,224,4688,100.78,224
16074,LK Saale-Holzland-Kreis,Thüringen,82950,3096,128.99,79,3088,127.79,79
16075,LK Saale-Orla-Kreis,Thüringen,80312,4038,237.82,101,4038,249.03,101
16076,LK Greiz,Thüringen,97398,4537,542.11,130,4414,490.77,122
16077,LK Altenburger Land,Thüringen,89393,5037,170.04,212,5037,178.98,212
