# {"time_iso8601_last_update_rki": "2021-03-15T17:00:00+0000", "time_iso8601_last_update_rl": "2021-03-16T20:00:00+0000"}
ags,county_name,state,population,rl_cases_total,rl_cases_7di,rl_deaths_total,rki_cases_total,rki_cases_7di,rki_deaths_total
5124,SK Wuppertal,Nordrhein-Westfalen,355100,13750,118.56,388,13562,112.08,388
5154,LK Kleve,Nordrhein-Westfalen,312465,7491,108.81,141,7491,109.45,140
5158,LK Mettmann,Nordrhein-Westfalen,485570,16357,80.32,618,16382,81.14,618
5162,LK Rhein-Kreis Neuss,Nordrhein-Westfalen,451730,12262,85.45,271,12210,77.70,271
5166,LK Viersen,Nordrhein-Westfalen,298863,8411,57.55,258,8398,57.55,256
5170,LK Wesel,Nordrhein-Westfalen,459976,12326,71.31,225,12298,70.00,225
5314,SK Bonn,Nordrhein-Westfalen,329673,9829,49.75,203,9829,50.96,203
5315,SK Köln,Nordrhein-Westfalen,1087863,35886,109.20,552,35887,107.09,552
5316,SK Leverkusen,Nordrhein-Westfalen,163729,5063,79.40,76,5063,80.01,76
5334,StadtRegion Aachen,Nordrhein-Westfalen,557026,18970,93.17,481,18969,91.56,481
5358,LK Düren,Nordrhein-Westfalen,264638,9902,138.30,235,9842,126.21,234
5362,LK Rhein-Erft-Kreis,Nordrhein-Westfalen,470615,13001,91.79,330,12951,89.88,330
5366,LK Euskirchen,Nordrhein-Westfalen,193656,5348,46.99,204,5319,39.24,203
5370,LK Heinsberg,Nordrhein-Westfalen,255555,9055,54.00,340,8649,50.48,325
5374,LK Oberbergischer Kreis,Nordrhein-Westfalen,272057,9188,119.09,170,9188,118.36,170
5378,LK Rheinisch-Bergischer Kreis,Nordrhein-Westfalen,283271,7799,73.43,119,7799,73.78,119
5382,LK Rhein-Sieg-Kreis,Nordrhein-Westfalen,600764,16482,76.57,421,16385,74.24,421
5512,SK Bottrop,Nordrhein-Westfalen,117565,4009,45.93,92,4009,45.08,92
5513,SK Gelsenkirchen,Nordrhein-Westfalen,259645,10621,97.83,343,10621,92.43,343
5515,SK Münster,Nordrhein-Westfalen,315293,5801,56.46,101,5769,46.62,101
5554,LK Borken,Nordrhein-Westfalen,371339,9556,91.56,206,9577,91.02,206
